RegionID,SizeRank,RegionName,RegionType,StateName,Y2019,Y2020,Y2021,Y2022,Y2023
394999,474,"Portsmouth, OH",msa,OH,77060.58333,92198.5,105800.4167,115479.9167,103096.0833
394827,504,"Marion, OH",msa,OH,95555.66667,103227.5833,125996.1667,124024.8333,134563.3333
394889,524,"Mount Vernon, OH",msa,OH,142457.8333,158191,170653.6667,193703.75,207775.25
753903,538,"Marietta, OH",msa,OH,130034.1667,139579,146690.6667,150511.8333,156454
394618,541,"Fremont, OH",msa,OH,105433.0833,114377.5833,123932.5,131531.3333,144562.5833
395157,570,"Tiffin, OH",msa,OH,63334.16667,88950.25,112943.5,133341.1667,132773.5
394339,586,"Ashland, OH",msa,OH,128662.75,138676.3333,146693.9167,172393.5,165154.9167
394652,593,"Greenville, OH",msa,OH,106349.5,123209.4167,140837.5833,159641.5,169094.6667
395201,634,"Wapakoneta, OH",msa,OH,111558.0833,131354,147657.0833,162482.0833,167201.8333
394377,638,"Bellefontaine, OH",msa,OH,140496.6667,150072.1667,155871.4167,174761.5833,194852.3333
395178,712,"Urbana, OH",msa,OH,131648.5,139158.75,163794.75,178363.25,172922.1667
394935,42,"Oklahoma City, OK",msa,OK,161141.8333,175361.3333,191280.25,213390.1667,218980.5
395169,56,"Tulsa, OK",msa,OK,156982,176391.9167,197089.6667,217175.8333,223293.9167
394780,332,"Lawton, OK",msa,OK,119912,129265.5,130101.5,134536.75,138323
395088,482,"Shawnee, OK",msa,OK,117873.25,135890.5833,148058.9167,154249,163660.4167
394897,496,"Muskogee, OK",msa,OK,103206.0833,115111,132853.5,146470.75,148252.8333
394570,523,"Enid, OK",msa,OK,120257.4167,135193.4167,134520,141036.5,149113
394336,546,"Ardmore, OK",msa,OK,120396.1667,144895.25,176610.3333,174086.9167,184590.25
394363,590,"Bartlesville, OK",msa,OK,125607,124320.75,148687.75,162469.5,155942.5
395144,626,"Tahlequah, OK",msa,OK,117027.75,143585.1667,159694.1667,166209.4167,188894.9167
394990,664,"Ponca City, OK",msa,OK,89080.91667,102074.1667,109308.1667,120507.9167,119966.3333
394842,666,"McAlester, OK",msa,OK,116836.3333,134263,156085.6667,169447.4167,167008.6667
394545,673,"Duncan, OK",msa,OK,87735.41667,109348.25,112691.25,123686.6667,126292.3333
394300,720,"Ada, OK",msa,OK,125552.6667,133720.75,148346,164762.6667,176234.8333
394998,25,"Portland, OR",msa,OR,385292.75,412953.4167,479050.6667,524994.8333,519876.75
395048,126,"Salem, OR",msa,OR,283734.8333,317314.5,371889.0833,412836.5833,418363.1667
394576,146,"Eugene, OR",msa,OR,291480.75,325770.5,379642.5833,424702.75,429870.25
394848,210,"Medford, OR",msa,OR,302474.1667,330532.75,382156.6667,423153.9167,418590.8333
394380,232,"Bend, OR",msa,OR,400367.6667,435013.3333,564442.9167,657777.25,628430.4167
394307,330,"Albany, OR",msa,OR,253912.3333,283882.25,331401.5,369962.25,382357.5
